filename,algo2_topics,algo3_topics,algo2_avg_duration,algo3_avg_duration,algo2_avg_sentences,algo3_avg_sentences,duration
audio_001_16k_mono_clean_norm_trim_chunk_057_cleaned.json,1,1,24.98,24.98,4.0,4.0,0
audio_001_16k_mono_clean_norm_trim_chunk_058_cleaned.json,1,1,24.98,24.98,7.0,7.0,0
audio_001_16k_mono_clean_norm_trim_chunk_059_cleaned.json,1,1,24.06,24.06,5.0,5.0,0
audio_001_16k_mono_clean_norm_trim_chunk_060_cleaned.json,1,1,24.48,24.48,4.0,4.0,0
audio_001_16k_mono_clean_norm_trim_chunk_061_cleaned.json,1,1,24.98,24.98,5.0,5.0,0
audio_001_16k_mono_clean_norm_trim_chunk_062_cleaned.json,1,1,24.74,24.74,4.0,4.0,0
audio_001_16k_mono_clean_norm_trim_chunk_063_cleaned.json,1,1,24.98,24.98,1.0,1.0,0
audio_001_16k_mono_clean_norm_trim_chunk_064_cleaned.json,1,1,24.099999999999998,24.099999999999998,5.0,5.0,0
audio_001_16k_mono_clean_norm_trim_chunk_065_cleaned.json,1,2,24.98,12.42,7.0,3.5,0
audio_001_16k_mono_clean_norm_trim_chunk_066_cleaned.json,1,1,24.98,24.98,1.0,1.0,0
audio_001_16k_mono_clean_norm_trim_chunk_067_cleaned.json,1,1,24.6,24.6,1.0,1.0,0
audio_001_16k_mono_clean_norm_trim_chunk_068_cleaned.json,1,1,24.92,24.92,3.0,3.0,0
audio_001_16k_mono_clean_norm_trim_chunk_069_cleaned.json,1,1,24.98,24.98,3.0,3.0,0
audio_001_16k_mono_clean_norm_trim_chunk_070_cleaned.json,1,1,24.98,24.98,2.0,2.0,0
audio_001_16k_mono_clean_norm_trim_chunk_071_cleaned.json,1,1,24.92,24.92,3.0,3.0,0
audio_001_16k_mono_clean_norm_trim_chunk_072_cleaned.json,1,2,24.42,11.600000000000001,5.0,2.5,0
audio_001_16k_mono_clean_norm_trim_chunk_073_cleaned.json,1,2,24.88,12.059999999999999,4.0,2.0,0
audio_001_16k_mono_clean_norm_trim_chunk_074_cleaned.json,1,1,24.98,24.98,7.0,7.0,0
audio_001_16k_mono_clean_norm_trim_chunk_075_cleaned.json,1,2,24.76,11.86,10.0,5.0,0
audio_001_16k_mono_clean_norm_trim_chunk_076_cleaned.json,1,1,24.86,24.86,1.0,1.0,0
audio_001_16k_mono_clean_norm_trim_chunk_077_cleaned.json,1,1,19.76,19.76,2.0,2.0,0
audio_001_16k_mono_clean_norm_trim_chunk_078_cleaned.json,1,1,13.06,13.06,2.0,2.0,0
audio_001_16k_mono_clean_norm_trim_chunk_079_cleaned.json,1,1,24.5,24.5,5.0,5.0,0
audio_001_16k_mono_clean_norm_trim_chunk_080_cleaned.json,1,1,24.98,24.98,4.0,4.0,0
audio_001_16k_mono_clean_norm_trim_chunk_081_cleaned.json,1,2,24.12,11.940000000000001,11.0,5.5,0
audio_001_16k_mono_clean_norm_trim_chunk_082_cleaned.json,1,2,23.38,10.66,12.0,6.0,0
audio_001_16k_mono_clean_norm_trim_chunk_083_cleaned.json,1,1,24.34,24.34,4.0,4.0,0
audio_001_16k_mono_clean_norm_trim_chunk_084_cleaned.json,1,2,24.74,12.219999999999999,9.0,4.5,0
audio_001_16k_mono_clean_norm_trim_chunk_085_cleaned.json,1,1,24.98,24.98,8.0,8.0,0
audio_001_16k_mono_clean_norm_trim_chunk_086_cleaned.json,1,1,24.78,24.78,1.0,1.0,0
audio_001_16k_mono_clean_norm_trim_chunk_087_cleaned.json,1,1,24.98,24.98,1.0,1.0,0
audio_001_16k_mono_clean_norm_trim_chunk_088_cleaned.json,1,1,24.98,24.98,4.0,4.0,0
audio_001_16k_mono_clean_norm_trim_chunk_089_cleaned.json,1,1,24.92,24.92,4.0,4.0,0
