audio_id,baseline_segments,embedding_segments,baseline_avg_words,embedding_avg_words,baseline_std_words,embedding_std_words
hy2G3PhGm-g,34,179,537.6470588235294,102.12290502793296,570.0238324405157,114.97187647589139
6ePR2TWYVkI,25,101,430.08,106.45544554455445,583.4493239348213,146.60295437924256
x0-zGdlpTeg,19,92,641.0526315789474,132.3913043478261,602.9324369659558,142.3252518553541
H_szemxPcTI,1,67,14776.0,220.53731343283582,0.0,234.08732446114925
LRYkH-fAVGE,29,136,486.7241379310345,103.78676470588235,639.179964758279,120.43972180942993
QDN6xvhAw94,12,72,747.8333333333334,124.63888888888889,1039.7897089743142,193.34219128813754
2wq9x2QcZN0,28,106,449.10714285714283,118.63207547169812,888.1208628851348,121.05926550089814
WzsivT_Ap1w,46,183,435.69565217391306,109.51912568306011,495.89847617909516,127.75915873107778
ez773teNFYA,69,256,482.2463768115942,129.98046875,539.9972465253767,145.8518204369773
IT__Nrr3PNI,21,85,675.6190476190476,166.91764705882352,1064.1642137954566,226.88375939413692
iNqqOLscOBY,43,167,366.3720930232558,94.33532934131736,497.8987486149804,111.40418996723959
0Jd7fJgFkPU,69,289,460.07246376811594,109.84429065743944,527.6394332881086,147.4753394795233
CY_LEa9xQtg,47,173,391.02127659574467,106.23121387283237,460.5617517845799,134.36398566651425
IUHkhB366tE,26,145,588.9230769230769,105.6,606.2618704992932,118.73084019661067
nAMjv0NAESM,46,109,426.54347826086956,180.0091743119266,460.9310382505004,241.5050095559151
n2RcVEftY48,20,168,930.7,110.79761904761905,1257.882589910521,155.31571377910228
lvh3g7eszVQ,74,305,496.6756756756757,120.50491803278689,497.7830610766237,131.1106183270754
2fI6bYnRgSc,25,90,304.68,84.63333333333334,382.18066094453286,83.12446491055849
UOEpe17nPhE,57,204,429.70175438596493,120.06372549019608,583.9355577552691,144.5759887647226
nDDJFvuFXdc,24,171,939.5833333333334,131.87134502923976,781.4746699172163,160.19923942826813
4-SGpEInX_c,84,360,464.76190476190476,108.44444444444444,644.3955938752961,139.65623358893407
Z6rxFNMGdn0,19,92,612.3684210526316,126.46739130434783,579.1568472699016,155.05065449204687
B2tXN7ZnSfU,64,332,546.875,105.42168674698796,663.4256151785218,107.96297005538047
CejJ2aVRUE8,40,130,349.575,107.56153846153846,419.9460017371281,153.18224459503
rIpUf-Vy2JA,68,308,466.1470588235294,102.91558441558442,438.220239575607,115.89840778007763
pRzelZlKl7E,7,110,1632.2857142857142,103.87272727272727,1309.667647511679,117.23458294384184
36_rM7wpN5A,52,234,494.36538461538464,109.85897435897436,589.4944714572803,136.3885592200737
hhEwWghH_XM,55,335,805.4909090909091,132.24477611940299,1093.288914202168,195.66926045660938
dEv99vxKjVI,10,42,474.0,112.85714285714286,509.9752935192057,153.587197418549
8A-5gIW0-eI,35,177,532.8571428571429,105.36723163841808,642.9910527196712,128.2081008295688
usDqSEKDVsA,35,244,545.6285714285714,78.26639344262296,627.0013026058142,79.87997359836012
OJQepiqSWvg,24,74,366.7916666666667,118.95945945945945,464.5615297574214,135.25925448571766
YJWPowbCK_I,33,154,646.5454545454545,138.54545454545453,947.2237613122311,171.74838477885035
Q24cpnHzx8I,65,276,445.12307692307695,104.82971014492753,632.9452402536599,131.48641573601583
H9AAnV59ddE,79,236,348.3544303797468,116.61016949152543,380.9735376695111,118.2466922817061
gk4tEO4jDUM,30,162,542.2666666666667,100.41975308641975,965.8824267074241,105.30160846643344
9LQffCdHHlQ,21,83,488.6666666666667,123.63855421686748,396.68751445814894,135.29695838158113
4oDZyOf6CW4,64,234,445.109375,121.73931623931624,463.3160070752028,141.77047626855463
NbdRIVCBqNI,40,177,496.725,112.2542372881356,726.2717462320836,131.65610826553893
OaeYUm06in0,66,292,461.4848484848485,104.3082191780822,559.8158041882316,121.85476225051708
l-mYLq6eZPY,16,66,456.0,110.54545454545455,371.91178389505217,119.7568473171319
-t1_ffaFXao,96,400,484.3125,116.235,562.9470133536104,153.12929104191662
jvGZkf87aCs,54,197,421.1296296296296,115.43654822335026,762.6003041809647,141.65064727119744
Ui38ZzTymDY,27,170,702.4814814814815,111.57058823529412,776.7074557896857,143.14960608811816
i6rnzk8VU24,19,74,426.36842105263156,109.47297297297297,551.9744664695542,112.20134206608984
ndMahzDCH1Y,52,260,553.0,110.6,730.3163961335789,138.14418888638394
tOTenjh_8hw,27,104,656.5185185185185,170.44230769230768,760.2461282920095,173.46268867945443
EG7I6Bt_NZY,40,188,620.925,132.11170212765958,629.6117211226297,141.23258044075322
STFcvzoxVw4,12,81,529.4166666666666,78.4320987654321,318.7053127716714,86.71778240063611
iZRbD7q1n-U,109,476,412.6238532110092,94.4873949579832,519.6605064846007,110.62905430418795
13CZPWmke6A,18,160,903.5555555555555,101.65,506.8795848919612,118.05958241498232
8RVa0THWUWw,21,81,413.0952380952381,107.09876543209876,565.5627542766084,111.76724104725565
-tDQ74I3Ovs,49,187,425.61224489795916,111.524064171123,549.433281917499,160.68976723044133
reYdQYZ9Rj4,48,291,628.875,103.73195876288659,706.0236547323798,105.81386583054781
ifX_JnBfxTY,41,191,614.2682926829268,131.8586387434555,818.8021597428308,143.7557043392858
USnqkUAr_3w,58,225,379.36206896551727,97.7911111111111,408.60851756932595,125.72713279554121
grceJbuPUXI,58,277,571.3793103448276,119.63898916967509,665.7674551970263,147.4013149518
nhGwJLXzHs8,74,396,601.2432432432432,112.35353535353535,741.182215091444,122.31157953154425
aSyZvBrPAyk,22,92,447.95454545454544,107.1195652173913,672.4580742100194,111.98115547903431
CGAvsmokB4c,52,178,357.5192307692308,104.4438202247191,447.5691390674319,117.77392021171366
Gi8LUnhP5yU,30,122,449.73333333333335,110.59016393442623,400.70104677788015,145.32319854173096
mRZE-SJShkE,23,100,588.9565217391304,135.46,701.2860532938207,128.72337938385553
TG6BuSjwP4o,59,238,523.4237288135594,129.7563025210084,603.1998629734433,138.16039067951135
U5OD8MjYnOM,50,252,515.22,102.22619047619048,618.2638042130559,113.84035931644388
3Z7WimACqG8,61,178,329.73770491803276,113.0,419.6884051660209,122.77027052932114
XOPO9J7DIXw,64,258,434.421875,107.76356589147287,409.0337243388183,121.96772634371341
NOReE-3EBhI,29,164,617.1724137931035,109.13414634146342,725.6881665709246,128.15989081813066
jhKZIq3SlYE,40,158,435.95,110.36708860759494,670.5637907760902,139.06415760180076
FhfmGM6hswI,105,332,284.22857142857146,89.89156626506023,336.3943054028754,92.05825971570484
xF6x1ftN-H4,48,225,488.25,104.16,617.7614662364971,109.95967422448811
PUAdj3w3wO4,52,238,427.03846153846155,93.30252100840336,677.7196482304709,114.41473685872481
Udh22kuLebg,25,256,925.08,90.33984375,775.5231999108731,113.78841098712815
4AWLcxTGZPA,26,205,859.4230769230769,109.0,995.4704405099098,118.85178308070694
YUYagvESisE,14,89,709.4285714285714,111.59550561797752,714.2266261274412,115.896284426402
rKnoNfajUgM,57,296,523.859649122807,100.87837837837837,634.3505157189197,108.49775221269877
3wMKoSRbGVs,41,191,628.829268292683,134.98429319371726,856.1008859639411,158.0169808768755
3t06ajvBtl0,33,156,527.7878787878788,111.6474358974359,544.3165165196684,139.58986649022455
rIAZJNe7YtE,30,194,882.6,136.48453608247422,1005.9106852333695,139.2349948162667
80OvNaEgmmw,43,152,410.95348837209303,116.25657894736842,420.22789794201134,132.2942541970722
0-3kw5BEKB8,45,113,319.1111111111111,127.07964601769912,398.6607704258637,146.78731478028226
P-2P3MSZrBM,55,351,575.0909090909091,90.11396011396012,588.6902649943971,109.91715919221755
hGRNUw559SE,61,338,674.7213114754098,121.76923076923077,1093.6592080334315,154.66904924030342
2BdBfsXbST8,29,137,490.82758620689657,103.89781021897811,594.677140394657,130.95780145385848
RL4j4KPwNGM,47,237,634.1914893617021,125.76793248945148,722.9739007766219,131.95025651852086
uy1fX2vOAEE,53,260,481.8301886792453,98.21923076923076,593.1888157780079,118.91468344098563
KMgPxVnKLSk,30,124,362.7,87.75,346.42143409437006,94.17816206359848
hIC9FQpxVwQ,13,55,421.15384615384613,99.54545454545455,307.2958599820866,109.19520771732499
gU-mkuMU428,17,81,638.0,133.90123456790124,813.4500960867417,179.78626576159962
U_lKUK2MCsg,29,108,396.13793103448273,106.37037037037037,442.1374200589778,129.78883081207923
orMtwOz6Db0,24,142,605.6666666666666,102.36619718309859,736.0697808103673,116.88169526643375
VeH7qKZr0WI,114,742,738.438596491228,113.45283018867924,944.2911667664364,139.33918867309472
