audio_id,baseline_boundaries,embedding_boundaries,common_boundaries,jaccard_similarity
v-9Mpe7NhkM,37,167,3,0.014925373134328358
5Gk9gIpGvSE,53,328,15,0.040983606557377046
sndW9hzX-wA,46,284,7,0.021671826625386997
yTWa-Z1UQwU,24,123,5,0.035211267605633804
mC43pZkpTec,40,326,7,0.019498607242339833
iOCfIFBBpVY,32,139,7,0.042682926829268296
98HZanvAJ8Y,36,138,9,0.05454545454545454
nkWmiNRPU-c,24,107,3,0.0234375
OYsYgzzsdT0,49,214,11,0.04365079365079365
BCdV6BMMpOo,43,229,9,0.034220532319391636
G4hL5Om4IJ4,72,256,12,0.0379746835443038
SGzMElJ11Cc,57,229,14,0.051470588235294115
urdNsyZBqhQ,23,218,7,0.029914529914529916
QSPtSNqUCUw,22,106,6,0.04918032786885246
I51DuprOb0o,45,170,10,0.04878048780487805
J21-7AsUcgM,31,134,7,0.04430379746835443
ktuw6Ow4sd0,58,264,13,0.042071197411003236
L-RuvUkcyJI,37,200,7,0.030434782608695653
XW0QZmtbjvs,54,233,14,0.05128205128205128
SFxIazwNP_0,78,415,22,0.04670912951167728
mDyBbGCiBUU,44,213,10,0.04048582995951417
gFEE3w7F0ww,75,301,12,0.03296703296703297
smK9dgdTl40,12,58,4,0.06060606060606061
PbN3HzKkW4M,24,472,6,0.012244897959183673
ImKkaeUx1MU,25,119,3,0.02127659574468085
pEBI0vF45ic,29,125,6,0.04054054054054054
t06rkOOUa7g,24,210,8,0.035398230088495575
3qMemn__kK8,20,85,3,0.029411764705882353
3x1b_S6Qp2Q,22,128,9,0.06382978723404255
tOtdJcco3YM,40,349,13,0.034574468085106384
FKCJWkPehdY,17,138,3,0.019736842105263157
_TTNGq9djU4,17,55,5,0.07462686567164178
j4PEu4sVD40,43,174,8,0.03827751196172249
Fx0G6DHMfXM,18,163,4,0.022598870056497175
5f-JlzBuUUU,16,78,3,0.03296703296703297
E1AxVXt2Gv4,44,145,12,0.06779661016949153
3FIo6evmweo,17,84,4,0.041237113402061855
YbJZnShMQAo,14,119,6,0.047244094488188976
uiNpESmPioQ,52,285,6,0.01812688821752266
8wYZjOzfTUk,47,215,9,0.03557312252964427
O9upVbGSBFo,28,162,5,0.02702702702702703
Ad89JYS-uZM,47,146,11,0.06043956043956044
TRdL6ZzWBS0,36,139,7,0.041666666666666664
J6XcP4JOHmk,31,149,6,0.034482758620689655
cC1HszE5Hcw,61,249,20,0.06896551724137931
1C2tPFCGL1U,70,363,19,0.04589371980676329
EYIKy_FM9x0,43,185,11,0.05069124423963134
q0mokx-iiws,27,96,7,0.0603448275862069
KW8Vjs84Fxg,35,163,6,0.03125
llh-2pqSGrs,21,84,9,0.09375
-k-ztNsBM54,71,243,19,0.06440677966101695
iZjby1LkTWQ,77,339,24,0.061224489795918366
KBZP4rLk6bk,92,390,22,0.04782608695652174
ZPPAOakITeQ,22,145,4,0.024539877300613498
yzMVEbs8Zz0,21,178,5,0.02577319587628866
U_AREIyd0Fc,65,251,15,0.04983388704318937
xlMTWfkQqbY,22,85,9,0.09183673469387756
zNdhgOk4-fE,41,140,5,0.028409090909090908
LAyZ8IYfGxQ,56,225,9,0.03308823529411765
Vrz8YDl9CeA,41,181,14,0.0673076923076923
o2nG7-eXxko,14,189,3,0.015
uTxRF5ag27A,25,129,5,0.03355704697986577
hy2G3PhGm-g,34,179,10,0.04926108374384237
6ePR2TWYVkI,25,101,11,0.09565217391304348
x0-zGdlpTeg,19,92,4,0.037383177570093455
H_szemxPcTI,1,67,1,0.014925373134328358
LRYkH-fAVGE,29,136,8,0.050955414012738856
QDN6xvhAw94,12,72,4,0.05
2wq9x2QcZN0,28,106,5,0.03875968992248062
WzsivT_Ap1w,46,183,5,0.022321428571428572
ez773teNFYA,69,256,15,0.04838709677419355
IT__Nrr3PNI,21,85,4,0.0392156862745098
iNqqOLscOBY,43,167,10,0.05
0Jd7fJgFkPU,69,289,17,0.04985337243401759
CY_LEa9xQtg,47,173,11,0.05263157894736842
IUHkhB366tE,26,145,4,0.023952095808383235
nAMjv0NAESM,46,109,9,0.06164383561643835
n2RcVEftY48,20,168,3,0.016216216216216217
lvh3g7eszVQ,74,305,18,0.04986149584487535
2fI6bYnRgSc,25,90,8,0.07476635514018691
UOEpe17nPhE,57,204,12,0.04819277108433735
nDDJFvuFXdc,24,171,7,0.03723404255319149
4-SGpEInX_c,84,360,25,0.059665871121718374
Z6rxFNMGdn0,19,92,8,0.07766990291262135
B2tXN7ZnSfU,64,332,10,0.025906735751295335
CejJ2aVRUE8,40,130,7,0.04294478527607362
rIpUf-Vy2JA,68,308,15,0.04155124653739612
pRzelZlKl7E,7,110,1,0.008620689655172414
36_rM7wpN5A,52,234,9,0.032490974729241874
hhEwWghH_XM,55,335,10,0.02631578947368421
dEv99vxKjVI,10,42,3,0.061224489795918366
8A-5gIW0-eI,35,177,15,0.07614213197969544
usDqSEKDVsA,35,244,7,0.025735294117647058
OJQepiqSWvg,24,74,7,0.07692307692307693
YJWPowbCK_I,33,154,8,0.0446927374301676
Q24cpnHzx8I,65,276,12,0.0364741641337386
H9AAnV59ddE,79,236,15,0.05
gk4tEO4jDUM,30,162,5,0.026737967914438502
9LQffCdHHlQ,21,83,6,0.061224489795918366
4oDZyOf6CW4,64,234,6,0.02054794520547945
NbdRIVCBqNI,40,177,9,0.04326923076923077
OaeYUm06in0,66,292,11,0.03170028818443804
l-mYLq6eZPY,16,66,2,0.025
-t1_ffaFXao,96,400,19,0.039832285115303984
jvGZkf87aCs,54,197,10,0.04149377593360996
Ui38ZzTymDY,27,170,11,0.05913978494623656
i6rnzk8VU24,19,74,2,0.02197802197802198
ndMahzDCH1Y,52,260,14,0.04697986577181208
tOTenjh_8hw,27,104,5,0.03968253968253968
EG7I6Bt_NZY,40,188,11,0.05069124423963134
STFcvzoxVw4,12,81,5,0.056818181818181816
iZRbD7q1n-U,109,476,24,0.0427807486631016
13CZPWmke6A,18,160,3,0.017142857142857144
8RVa0THWUWw,21,81,8,0.0851063829787234
-tDQ74I3Ovs,49,187,10,0.04424778761061947
reYdQYZ9Rj4,48,291,14,0.043076923076923075
ifX_JnBfxTY,41,191,8,0.03571428571428571
USnqkUAr_3w,58,225,13,0.04814814814814815
grceJbuPUXI,58,277,12,0.03715170278637771
nhGwJLXzHs8,74,396,15,0.03296703296703297
aSyZvBrPAyk,22,92,7,0.06542056074766354
CGAvsmokB4c,52,178,8,0.036036036036036036
Gi8LUnhP5yU,30,122,8,0.05555555555555555
mRZE-SJShkE,23,100,6,0.05128205128205128
TG6BuSjwP4o,59,238,8,0.02768166089965398
U5OD8MjYnOM,50,252,8,0.027210884353741496
3Z7WimACqG8,61,178,15,0.06696428571428571
XOPO9J7DIXw,64,258,9,0.02875399361022364
NOReE-3EBhI,29,164,9,0.04891304347826087
jhKZIq3SlYE,40,158,8,0.042105263157894736
FhfmGM6hswI,105,332,21,0.05048076923076923
xF6x1ftN-H4,48,225,11,0.04198473282442748
PUAdj3w3wO4,52,238,13,0.04693140794223827
Udh22kuLebg,25,256,4,0.01444043321299639
4AWLcxTGZPA,26,205,7,0.03125
YUYagvESisE,14,89,7,0.07291666666666667
rKnoNfajUgM,57,296,15,0.04437869822485207
3wMKoSRbGVs,41,191,9,0.04035874439461883
3t06ajvBtl0,33,156,9,0.05
rIAZJNe7YtE,30,194,3,0.013574660633484163
80OvNaEgmmw,43,152,4,0.020942408376963352
0-3kw5BEKB8,45,113,8,0.05333333333333334
P-2P3MSZrBM,55,351,20,0.05181347150259067
hGRNUw559SE,61,338,11,0.028350515463917526
2BdBfsXbST8,29,137,7,0.0440251572327044
RL4j4KPwNGM,47,237,11,0.040293040293040296
uy1fX2vOAEE,53,260,12,0.03986710963455149
KMgPxVnKLSk,30,124,6,0.04054054054054054
hIC9FQpxVwQ,13,55,4,0.0625
gU-mkuMU428,17,81,5,0.053763440860215055
U_lKUK2MCsg,29,108,8,0.06201550387596899
orMtwOz6Db0,24,142,6,0.0375
VeH7qKZr0WI,114,742,23,0.027611044417767107
T3FC7qIAGZk,86,368,19,0.04367816091954023
J48bm21q8_A,47,209,12,0.04918032786885246
cdiD-9MMpb0,89,394,19,0.040948275862068964
f0un-l1L8Zw,31,161,6,0.03225806451612903
FKh8hjJNhWc,105,518,26,0.04355108877721943
6z1JwZbX4dQ,41,193,4,0.017391304347826087
Pl3x4GINtBQ,81,485,19,0.03473491773308958
7jFdxd1qX2g,25,77,7,0.07368421052631578
j4_VyRDOmN4,47,282,16,0.051118210862619806
ClxRHJPz8aQ,46,260,14,0.04794520547945205
cC1LFC0KFSw,64,405,7,0.015151515151515152
ICj8p5jPd3Y,52,266,9,0.02912621359223301
3LWNY70Oj4A,21,101,2,0.016666666666666666
U_6AYX42gkU,59,194,18,0.07659574468085106
cuD9uNFXnU8,53,222,17,0.06589147286821706
krB0enBeSiE,77,357,16,0.03827751196172249
s78hvV3QLUE,20,96,3,0.02654867256637168
K78jqx9fx2I,72,337,18,0.04603580562659847
0RTWSJAqTPg,35,199,11,0.04932735426008968
c9AbECvRt20,33,122,5,0.03333333333333333
60KJz1BVTyU,17,65,2,0.025
AF8DOS4C2KM,54,265,16,0.052805280528052806
VBPTFlpv31k,53,231,10,0.0364963503649635
Ktj050DxG7Q,42,217,12,0.048582995951417005
qfKyNxfyWbo,48,168,5,0.023696682464454975
GbhiVzCR9T0,29,119,10,0.07246376811594203
386s-y1aRRo,31,144,5,0.029411764705882353
-jA2ABHBc6Y,55,178,14,0.0639269406392694
50r-5ULcWgY,40,188,8,0.03636363636363636
2oHH4aClJQs,67,261,16,0.05128205128205128
KdmDtqB46Jc,47,289,13,0.04024767801857585
e4Bet29PVPY,64,241,13,0.04452054794520548
-DVyjdw4t9I,22,236,8,0.032
HYsLTNXMl1Q,12,73,2,0.024096385542168676
_VPxEcT_Adc,24,80,4,0.04
Z1KwkpTUbkg,59,249,13,0.04406779661016949
I845O57ZSy4,88,375,20,0.045146726862302484
X0-SXS6zdEQ,53,253,7,0.023411371237458192
aYwDs9LTN50,17,83,5,0.05263157894736842
Y3VBCWIDEzk,30,211,11,0.04782608695652174
l-NJrvyRo0c,13,57,2,0.029411764705882353
nre0QT9LN6w,51,199,14,0.059322033898305086
qLDp-aYnR1Y,56,251,17,0.05862068965517241
plcc6E-E1uU,67,253,14,0.0457516339869281
jdIyNMkusLE,60,245,13,0.04452054794520548
EE1R8FYUJm0,36,186,9,0.04225352112676056
Ww6pfsWmkdY,20,82,6,0.0625
o0Bi-q89j5Y,40,247,9,0.03237410071942446
kSbMU5CbFM0,45,222,11,0.04296875
Nb2tebYAaOA,34,152,6,0.03333333333333333
xAfdSak2fs8,53,154,8,0.04020100502512563
Er7Dy8rvqOc,22,84,4,0.0392156862745098
DxREm3s1scA,54,236,15,0.05454545454545454
3pvpNKUPbIY,45,205,6,0.02459016393442623
FUS6ceIvUnI,50,244,10,0.035211267605633804
bIrEM2FbOLU,29,120,6,0.04195804195804196
_AGPbvCDBCk,70,248,14,0.046052631578947366
WgLo4gmEraU,24,80,6,0.061224489795918366
kD5yc1LQrpQ,21,125,7,0.050359712230215826
IHg6ixt3CKc,64,274,15,0.04643962848297214
CDiqA4SJNpA,54,226,22,0.08527131782945736
KsZI5oXBC0k,28,114,3,0.02158273381294964
aGBLRlLe7X8,38,174,4,0.019230769230769232
anXep8kBOCg,26,88,8,0.07547169811320754
uPUEq8d73JI,28,137,6,0.03773584905660377
UwwBG-MbniY,20,121,6,0.044444444444444446
1XGiTDWfdpM,72,391,20,0.045146726862302484
M95m2EFb7IQ,28,123,12,0.08633093525179857
TPXTmVdlyoc,55,240,18,0.06498194945848375
EwueqdgIvq4,50,252,17,0.05964912280701754
DbXjoXnIxQo,38,225,6,0.023346303501945526
NwzuibY5kUs,32,92,5,0.04201680672268908
p3lsYlod5OU,80,273,14,0.04129793510324484
1YbcB6b4A2U,42,229,9,0.03435114503816794
yCd3CzGSte8,23,127,7,0.04895104895104895
NERNE4UThHU,27,113,6,0.04477611940298507
ygAqYC8JOQI,37,188,6,0.0273972602739726
bgNzUxyS-kQ,4,81,1,0.011904761904761904
HrehEWYj16s,76,344,20,0.05
2tUiLxtrLxk,36,203,13,0.05752212389380531
brslF-Cy3HU,36,234,9,0.034482758620689655
y3Umo_jd5AA,56,279,12,0.03715170278637771
kxi-_TT_-Nc,28,127,4,0.026490066225165563
aB8zcAttP1E,92,403,14,0.029106029106029108
Kedt2or9xlo,35,146,7,0.040229885057471264
_L3gNaAVjQ4,63,209,10,0.03816793893129771
TISMidxdZoc,22,119,8,0.06015037593984962
ew8U43IXTfk,44,200,12,0.05172413793103448
tm7poMupE8k,62,212,18,0.0703125
